date,open,high,low,close,volume
2019-01-02,9.39,9.42,9.16,9.19,539386
2019-01-03,9.18,9.33,9.15,9.28,415538
2019-01-04,9.24,9.82,9.22,9.75,1481159
2019-01-07,9.84,9.85,9.63,9.74,865688
2019-01-08,9.73,9.74,9.62,9.66,402388
2019-01-09,9.74,10.08,9.7,9.94,1233486
2019-01-10,9.87,10.2,9.86,10.1,1071818
2019-01-11,10.11,10.22,10.05,10.2,696365
2019-01-14,10.22,10.25,10.07,10.11,500444
2019-01-15,10.11,10.28,10.09,10.24,542161
2019-01-16,10.24,10.5,10.23,10.48,977699
2019-01-17,10.54,10.57,10.17,10.25,882812
2019-01-18,10.34,10.49,10.28,10.43,738793
2019-01-21,10.34,10.47,10.32,10.34,659356
2019-01-22,10.34,10.44,10.26,10.28,424414
2019-01-23,10.29,10.47,10.29,10.35,537877
2019-01-24,10.4,10.55,10.37,10.52,679241
2019-01-25,10.56,11.04,10.55,11.0,2108362
2019-01-28,11.04,11.14,10.88,10.94,1035910
2019-01-29,10.96,11.07,10.77,11.0,826631
2019-01-30,10.95,11.18,10.86,10.95,712001
2019-01-31,10.98,11.2,10.94,11.1,831623
2019-02-01,11.2,11.25,10.96,11.2,1014270
2019-02-11,11.08,11.21,10.97,11.21,801937
2019-02-12,11.2,11.31,11.03,11.19,959937
2019-02-13,11.19,11.41,11.12,11.38,1137366
2019-02-14,11.3,11.33,11.19,11.25,869185
2019-02-15,11.23,11.23,10.9,10.95,1100127
2019-02-18,11.05,11.36,11.04,11.36,1255522
2019-02-19,11.36,11.62,11.24,11.27,1270882
2019-02-20,11.33,11.53,11.25,11.41,832630
2019-02-21,11.38,11.55,11.28,11.36,754246
2019-02-22,11.35,11.57,11.15,11.54,1184048
2019-02-25,11.7,12.64,11.57,12.55,2824935
2019-02-26,12.55,12.57,12.15,12.2,2017545
2019-02-27,12.24,12.66,12.15,12.4,1979014
2019-02-28,12.44,12.61,12.27,12.36,1113100
2019-03-01,12.48,12.78,12.2,12.76,1712679
2019-03-04,12.7,13.38,12.62,12.99,2456830
2019-03-05,12.91,13.29,12.84,13.06,1408422
2019-03-06,13.06,13.15,12.84,13.08,1245760
2019-03-07,13.06,13.06,12.55,12.74,1782057
2019-03-08,12.49,12.7,12.25,12.3,1778162
2019-03-11,12.3,12.49,12.05,12.32,1157651
2019-03-12,12.49,12.64,12.24,12.36,1411795
2019-03-13,12.34,12.55,12.13,12.37,1269427
2019-03-14,12.33,12.62,12.27,12.43,1057468
2019-03-15,12.34,12.68,12.34,12.5,1045406
2019-03-18,12.53,12.94,12.32,12.91,1486455
2019-03-19,12.92,12.94,12.61,12.79,957196
2019-03-20,12.68,12.88,12.62,12.75,929996
2019-03-21,12.77,12.8,12.58,12.69,860141
2019-03-22,12.69,12.74,12.5,12.59,713502
2019-03-25,12.4,12.4,12.1,12.11,1179883
2019-03-26,12.23,12.29,12.01,12.1,935393
2019-03-27,12.24,12.47,12.18,12.38,922827
2019-03-28,12.31,12.31,12.1,12.22,732467
2019-03-29,12.26,12.82,12.21,12.82,1669506
2019-04-01,12.83,13.55,12.83,13.18,1951401
2019-04-02,13.28,13.48,13.23,13.36,1100384
2019-04-03,13.21,13.45,13.15,13.44,792916
2019-04-04,13.43,14.0,13.43,13.86,2034365
2019-04-08,13.9,14.43,13.72,13.96,1743176
2019-04-09,13.87,13.98,13.75,13.81,781332
2019-04-10,13.75,13.88,13.4,13.73,947135
2019-04-11,13.73,13.96,13.49,13.54,655357
2019-04-12,13.49,13.59,13.21,13.42,774325
2019-04-15,13.72,14.09,13.66,13.69,1533891
2019-04-16,13.67,14.58,13.55,14.58,2379375
2019-04-17,14.42,14.59,14.23,14.35,1004110
2019-04-18,14.3,14.37,14.11,14.34,507045
2019-04-19,14.45,14.8,14.3,14.73,1246036
2019-04-22,14.6,14.84,14.08,14.15,1322274
2019-04-23,14.1,14.2,13.97,14.07,940687
2019-04-24,14.45,14.6,14.16,14.44,1949724
2019-04-25,14.38,14.64,14.13,14.13,1111476
2019-04-26,14.08,14.25,13.7,13.79,1009421
2019-04-29,13.9,14.33,13.86,14.1,1030696
2019-04-30,13.99,14.05,13.59,13.85,1116570
2019-05-06,13.1,13.35,12.71,12.87,2108668
2019-05-07,13.03,13.09,12.72,12.95,1072658
2019-05-08,12.72,12.91,12.5,12.6,975451
2019-05-09,12.52,12.58,12.05,12.16,1557152
2019-05-10,12.34,12.75,12.1,12.68,1192399
2019-05-13,12.33,12.54,12.23,12.3,741918
2019-05-14,12.2,12.75,12.16,12.49,1182598
2019-05-15,12.58,13.11,12.57,12.92,1103989
2019-05-16,12.93,12.99,12.78,12.85,634901
2019-05-17,12.92,12.93,12.36,12.44,965001
2019-05-20,12.35,12.54,12.25,12.38,786435
2019-05-21,12.4,12.73,12.36,12.56,731211
2019-05-22,12.57,12.57,12.32,12.4,506231
2019-05-23,12.24,12.42,12.14,12.29,666855
2019-05-24,12.35,12.45,12.31,12.35,495526
2019-05-27,12.21,12.42,11.93,12.37,1048426
2019-05-28,12.31,12.55,12.26,12.49,880703
2019-05-29,12.36,12.59,12.26,12.4,666412
2019-05-30,12.32,12.38,12.11,12.22,646285
2019-05-31,12.16,12.4,12.11,12.18,686794
2019-06-03,12.22,12.33,11.82,11.9,1512719
2019-06-04,11.89,11.94,11.6,11.85,974655
2019-06-05,11.97,12.14,11.92,11.97,748892
2019-06-06,11.97,12.07,11.89,11.92,433665
2019-06-10,12.01,12.47,11.98,12.34,1144669
2019-06-11,12.34,12.72,12.3,12.65,1251088
2019-06-12,12.63,12.66,12.44,12.57,657310
2019-06-13,12.54,12.68,12.43,12.59,530000
2019-06-14,12.59,12.69,12.45,12.49,483192
2019-06-17,12.48,12.79,12.48,12.67,619816
2019-06-18,12.67,12.85,12.59,12.8,483555
2019-06-19,13.29,13.39,13.01,13.07,1143226
2019-06-20,13.17,13.95,13.12,13.8,1529191
2019-06-21,13.76,13.87,13.58,13.64,1011129
2019-06-24,13.69,13.83,13.61,13.69,659573
2019-06-25,13.72,13.72,13.07,13.43,1469227
2019-06-26,13.27,13.5,13.19,13.37,546505
2019-06-27,13.5,13.85,13.45,13.71,925075
2019-06-28,13.73,13.79,13.58,13.78,498094
2019-07-01,14.01,14.18,13.87,13.93,960636
2019-07-02,13.88,14.24,13.86,14.18,1052745
2019-07-03,14.18,14.21,13.87,14.01,769078
2019-07-04,14.01,14.28,13.88,13.99,621293
2019-07-05,13.95,13.98,13.69,13.92,749196
2019-07-08,13.82,13.88,13.45,13.59,778414
2019-07-09,13.63,13.71,13.44,13.59,494296
2019-07-10,13.61,13.7,13.49,13.56,358221
2019-07-11,13.68,13.78,13.53,13.54,484183
2019-07-12,13.6,14.23,13.58,14.12,1465367
2019-07-15,14.03,14.12,13.84,14.0,841283
2019-07-16,13.97,13.99,13.71,13.75,722781
2019-07-17,13.7,13.81,13.61,13.69,410021
2019-07-18,13.65,13.81,13.56,13.67,422826
2019-07-19,13.74,14.08,13.68,13.99,866391
2019-07-22,13.96,14.02,13.76,13.85,582283
2019-07-23,13.86,13.87,13.65,13.76,504004
2019-07-24,13.87,14.01,13.79,13.88,570276
2019-07-25,13.92,14.27,13.85,14.2,1087826
2019-07-26,14.18,14.25,14.08,14.23,635306
2019-07-29,14.25,14.45,14.18,14.29,715576
2019-07-30,14.31,14.55,14.29,14.37,796634
2019-07-31,14.3,14.32,14.08,14.13,634723
2019-08-01,14.06,14.19,13.94,14.1,527981
2019-08-02,13.77,13.88,13.66,13.74,969926
2019-08-05,13.6,13.64,13.27,13.35,893082
